id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
dynunet-control-seed0,dynunet,running,train,1,5600,10000,5000,0.27293339107255904,,,,0,8171400704,0.7197701506783775,42,42,,16543683,11270094848,False,,,,,,,,,,,,,c25b39167b92416f7732cfd1a5fc13cd45062ae74c3bed4863e98f76503d41a2,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-mass50-seed0,dynunet,running,train,2,5600,10000,5000,0.27358756531864925,,,,0,8171400704,0.7167339524257306,42,42,,16543683,11270094848,False,,,,,,,,,,,,,c25b39167b92416f7732cfd1a5fc13cd45062ae74c3bed4863e98f76503d41a2,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-class111-seed0,dynunet,running,train,3,5600,10000,5000,0.27855628346561245,,,,0,8171400704,0.7274856413469006,42,42,,16543683,11270094848,False,,,,,,,,,,,,,c25b39167b92416f7732cfd1a5fc13cd45062ae74c3bed4863e98f76503d41a2,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-class115-seed0,dynunet,running,train,4,5600,10000,5000,0.2714249701143895,,,,0,8171400704,0.6682338200919574,42,42,,16543683,11270094848,False,,,,,,,,,,,,,c25b39167b92416f7732cfd1a5fc13cd45062ae74c3bed4863e98f76503d41a2,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-rotation-seed0,dynunet,running,train,5,5600,10000,5000,0.2783062866552797,,,,0,8171400704,0.6704064658750836,42,42,,16543683,11270094848,False,,,,,,,,,,,,,c25b39167b92416f7732cfd1a5fc13cd45062ae74c3bed4863e98f76503d41a2,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-intensity-seed0,dynunet,running,train,6,5500,10000,5000,0.2606543714056412,,,,0,8171400704,0.7193134759633214,42,42,,16543683,11270094848,False,,,,,,,,,,,,,c25b39167b92416f7732cfd1a5fc13cd45062ae74c3bed4863e98f76503d41a2,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
