id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
nnunet_resenc_l-seed0,nnunet_resenc_l,running,train,1,67750,250000,,,,,,,,,,42,,140989042,,False,,,,,,,,,,,,,eab6243fcc1ac87cc5b3ff6ad277ce984d89c58fbcb76910c33578d90c949505,949a1552e47e137101262f91810dc28b7e5292ea40c47edbf5a196d4a4cc7a8d,
nnunet_planned_plainconv-seed0,nnunet_planned_plainconv,running,train,2,101250,250000,,,,,,,,,,42,,44943026,,False,,,,,,,,,,,,,eab6243fcc1ac87cc5b3ff6ad277ce984d89c58fbcb76910c33578d90c949505,949a1552e47e137101262f91810dc28b7e5292ea40c47edbf5a196d4a4cc7a8d,
nnunet_planned_dynunet-seed0,nnunet_planned_dynunet,running,train,3,102000,250000,,,,,,,,,,42,,44992082,,False,,,,,,,,,,,,,eab6243fcc1ac87cc5b3ff6ad277ce984d89c58fbcb76910c33578d90c949505,949a1552e47e137101262f91810dc28b7e5292ea40c47edbf5a196d4a4cc7a8d,
