id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
dynunet-control10k-seed0,dynunet,completed,,9,10000,10000,10000,0.2985828250356692,0.3298359547409563,0.7558945692980761,,0.9068424064583248,8171400704,0.7607042808516026,42,42,42,16543683,11270094848,True,116.0540749579668,0.36190026085005483,8.389250162988901,10.997766060009596,4808769536.0,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-roi20-seed0,dynunet,failed,train,9,0,10000,,,,,,0.009074534310234918,,,,42,,16543683,,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-roi40-seed0,dynunet,failed,train,9,0,10000,,,,,,0.00921763903564877,,,,42,,16543683,,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
