id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
dynunet-batch-seed0,dynunet,running,train,4,700,10000,100,0.0,,,,0,8171400704,0.16187003833671287,42,42,,16543683,11270094848,False,,,,,,,,,,,,,23e6717af6fc914dba111f7d8a152fb4b3011fefa924e9284313879ea239dac7,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-per-sample-seed0,dynunet,running,train,5,700,10000,100,0.0,,,,0,8171400704,0.10368746951778109,42,42,,16543683,11270094848,False,,,,,,,,,,,,,23e6717af6fc914dba111f7d8a152fb4b3011fefa924e9284313879ea239dac7,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-batch-seed1,dynunet,running,train,6,700,10000,100,0.0,,,,0,8171400704,0.0,42,42,,16543683,11270094848,False,,,,,,,,,,,,,23e6717af6fc914dba111f7d8a152fb4b3011fefa924e9284313879ea239dac7,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-per-sample-seed1,dynunet,running,train,7,700,10000,100,0.0,,,,0,8171400704,0.0,42,42,,16543683,11270094848,False,,,,,,,,,,,,,23e6717af6fc914dba111f7d8a152fb4b3011fefa924e9284313879ea239dac7,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
