run_id,model,segment,epoch,step,epoch_training_seconds,epoch_validation_seconds,epoch_checkpoint_seconds,wall_seconds,peak_allocated_bytes,peak_reserved_bytes
dynunet-batch-seed0,dynunet,current,1,100,22.990697041153908,84.5594801530242,0.44267771765589714,107.55020710080862,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,2,200,22.636095993220806,4.798173904418945e-06,0.42787395417690277,130.63331682235003,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,3,300,22.69136794283986,8.605420589447021e-07,0.45624227821826935,153.76331809535623,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,4,400,22.90292853489518,6.705522537231445e-07,0.45868560299277306,177.13841657713056,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,5,500,22.719147704541683,7.808208465576172e-06,0.4763394333422184,200.3308643400669,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,6,600,22.725661884993315,8.717179298400879e-07,0.45693719387054443,223.53523664176464,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,7,700,22.708456441760063,6.668269634246826e-07,0.5197406262159348,246.70283694565296,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,8,800,22.717088036239147,9.126961231231689e-07,0.5131711177527905,269.9419805519283,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,9,900,22.731218732893467,9.723007678985596e-07,0.5031440556049347,293.18884398415685,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,10,1000,22.736700173467398,69.07226042449474,0.4721735492348671,385.5034014955163,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,11,1100,22.672905638813972,9.499490261077881e-07,0.4158218912780285,408.6531457044184,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,12,1200,22.718117851763964,9.611248970031738e-07,0.4349813796579838,431.7888928614557,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,13,1300,22.7429087087512,6.556510925292969e-07,0.4327874779701233,454.9689749777317,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,14,1400,22.75323960185051,7.674098014831543e-07,0.43318191170692444,478.15717174485326,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,15,1500,22.768245290964842,7.972121238708496e-07,0.4392462521791458,501.36103320866823,8171400704.0,11270094848.0
dynunet-batch-seed0,dynunet,current,16,1600,22.758472356945276,8.25151801109314e-06,0.4400171525776386,524.5609048828483,8171400704.0,11270094848.0
