id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
dynunet-control10k-seed0,dynunet,running,train,1,5500,10000,5000,0.27293339107255904,,,,0,8171400704,0.7197701506783775,42,42,,16543683,11270094848,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-deep10k-seed0,dynunet,running,train,2,5400,10000,5000,0.25847856909329264,,,,0,8311522816,0.6899339113455187,42,42,,16544265,11723079680,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-focal05-seed0,dynunet,running,train,3,5500,10000,5000,0.30131086615485403,,,,0,8171400704,0.7019915033413826,42,42,,16543683,11270094848,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-focal10-seed0,dynunet,running,train,4,5500,10000,5000,0.3238386434772669,,,,0,8171400704,0.7184810275073324,42,42,,16543683,11270094848,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-window-seed0,dynunet,running,train,5,5500,10000,5000,0.29526635478318514,,,,0,8171400704,0.711039487879671,42,42,,16543683,11270094848,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-minmax-seed0,dynunet,running,train,6,5400,10000,5000,0.26486041475784594,,,,0,8171400704,0.6716891396424353,42,42,,16543683,11270094848,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-isotropic-seed0,dynunet,running,train,7,3400,10000,3000,0.3295503858253926,,,,0,13458820608,0.6866222213568123,42,42,,16543683,18698207232,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
swin_unetr-swin24-seed0,swin_unetr,running,train,8,2300,10000,2000,0.18454973930958063,,,,0,26511265280,0.47636890583676544,42,42,,15703029,40118517760,False,,,,,,,,,,,,,e18d505407be7814a57b852ecf0ce5ac8553a9b30d875a7d0485b536f2db738b,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
swin_unetr-swin48-seed0,swin_unetr,queued,,,0,10000,,,,,,,,,,42,,,,False,,,,,,,,,,,,,,,
