id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
dynunet-control10k-seed0,dynunet,completed,,2,10000,10000,10000,0.2985828250356692,0.3298359547409563,0.7558945692980761,,0.9093571916553709,8171400704,0.7607042808516026,42,42,42,16543683,11270094848,True,113.49450045078993,0.37006198391269873,8.373254975304008,9.887349988892673,4808769536.0,,,,,,,,dd3ac4136e2c26be2ccbe6d5d2599a302e67e30fa6d243370ebb099c8532a0ca,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-roi20-seed0,dynunet,completed,,3,10000,10000,10000,0.2962835180188321,0.3189224110672792,0.694767678606612,,0.751656741698583,8171400704,0.7024992373839338,42,42,42,16543683,11270094848,True,75.36259055510163,0.5573056829739889,5.499602220952511,6.750376908667384,3172990976.0,,,,,,,,dd3ac4136e2c26be2ccbe6d5d2599a302e67e30fa6d243370ebb099c8532a0ca,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-roi40-seed0,dynunet,completed,,4,10000,10000,10000,0.2889502247532575,0.32959412574487673,0.7306546596953416,,0.7628753615750207,8171400704,0.720675114036833,42,42,42,16543683,11270094848,True,79.9153372682631,0.5255561877817354,5.946564193814993,7.111873169988394,4825546752.0,,,,,,,,dd3ac4136e2c26be2ccbe6d5d2599a302e67e30fa6d243370ebb099c8532a0ca,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
