id,model,status,stage,gpu,completed_steps,budget_steps,validated_step,interim_mass_dice,final_mass_dice,final_pancreas_dice,screening_rank,finished_stage_gpu_hours,peak_allocated_bytes,interim_pancreas_dice,validation_cases,expected_validation_cases,final_cases,parameters,peak_reserved_bytes,prediction_complete,prediction_pipeline_wall_seconds,prediction_scans_per_second,prediction_case_p50_seconds,prediction_case_p95_seconds,prediction_peak_reserved_bytes,model_only_patches_per_second,model_only_p50_ms,model_only_p95_ms,patient_sensitivity,tumor_sensitivity,specificity,auc,code_fingerprint,runtime_fingerprint,continuation_action
dynunet-control10k-seed0,dynunet,completed,,1,10000,10000,10000,0.2985828250356692,0.3298359547409563,0.7558945692980761,,0.9044437764088313,8171400704,0.7607042808516026,42,42,42,16543683,11270094848,True,122.40385944023728,0.34312643565382156,8.833898954093456,11.044110610336064,4808769536.0,116.72699733001866,8.563199996948242,8.589977788925172,0.9285714285714286,0.5952380952380952,,,68caa6c282aab23c1a99a2264f0823f739a7cd12bc81c6fdb7615ab8db8dfa97,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-long30k-seed0,dynunet,completed,,2,30000,30000,30000,0.30273612147746026,0.33801371584714135,0.726216519037536,,2.5902094873454833,8171400704,0.7745478422829782,42,42,42,16543683,11270094848,True,118.60543532297015,0.3541153058089735,8.474113138392568,12.01991167310625,4808769536.0,116.45099735598878,8.576000213623047,8.59883508682251,0.8571428571428571,0.5476190476190477,,,68caa6c282aab23c1a99a2264f0823f739a7cd12bc81c6fdb7615ab8db8dfa97,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
dynunet-fine10k-seed0,dynunet,completed,,3,10000,10000,10000,0.25457261602785797,0.28197726451484256,0.7279897982690801,,1.8259675183561113,18082735616,0.7425304292099986,42,42,42,16543683,25211961344,True,129.63994912058115,0.3239742092226125,9.170804871246219,11.507987542077897,10701766656.0,41.61461076690647,24.0317440032959,24.05688343048096,0.8809523809523809,0.5,,,68caa6c282aab23c1a99a2264f0823f739a7cd12bc81c6fdb7615ab8db8dfa97,4207e46bdabf6d35ad563ca9234bf6be85906a7a707d7d9fc9c33178bb655874,
