campaign,run,architecture,mode,seed,initialization,comparison_group,mass_dice_mean,mass_dice_median,mass_dice_nonzero_mean,zero_overlap_scans,empty_prediction_scans,mass_dice_ge_70_scans,pancreas_union_dice_mean,cases,reference_hashes_match
task07-scratch-screen-20260913,bisenetv2-seed0,bisenetv2,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.1464182647700657,0.031570851182218695,0.23652181232087535,16,2,0,0.5663518822592147,42,True
task07-scratch-screen-20260913,convnext_upernet-seed0,convnext_upernet,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.12782992681244862,0.00046977095107264365,0.25565985362489724,21,9,0,0.6405092086488133,42,True
task07-scratch-screen-20260913,ddrnet-seed0,ddrnet,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.08060022974869843,0.0009626492106276473,0.1612004594973969,21,6,1,0.5268995421122662,42,True
task07-scratch-screen-20260913,deeplabv3_plus-seed0,deeplabv3_plus,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.25979363152012974,0.2373643430169563,0.376252845649843,13,3,2,0.6229368643705083,42,True
task07-scratch-screen-20260913,dpt-seed0,dpt,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.06365070228808081,0.0,0.14070155242628388,23,9,0,0.3643937185707654,42,True
task07-scratch-screen-20260913,dynunet-seed0,dynunet,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.3298359547409563,0.2765951628810103,0.4617703366373387,12,3,7,0.7558945692980761,42,True
task07-scratch-screen-20260913,fpn-seed0,fpn,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.23990447871198065,0.23523549891171266,0.29635259135009373,8,0,0,0.6381802578842583,42,True
task07-scratch-screen-20260913,hrnet_ocr-seed0,hrnet_ocr,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.1700754145094932,0.052241015909098125,0.2857266963759486,17,7,0,0.6617988259123374,42,True
task07-scratch-screen-20260913,lraspp-seed0,lraspp,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.14627118614305115,0.012886494896158476,0.267103905130789,19,2,0,0.5190632441746321,42,True
task07-scratch-screen-20260913,mask2former-seed0,mask2former,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.1489748596228193,0.01714462346996836,0.2607060043399338,18,2,1,0.5843717250020641,42,True
task07-scratch-screen-20260913,maskformer-seed0,maskformer,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.00047677427639855293,0.00024004539059836093,0.00047677427639855293,0,0,0,0.004425943275382046,42,True
task07-scratch-screen-20260913,medformer-seed0,medformer,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.3272481349417819,0.2281401529725408,0.45814738891849466,12,6,7,0.7187466962519543,42,True
task07-scratch-screen-20260913,mednext_v1-seed0,mednext_v1,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.2844862390665283,0.15420140597272514,0.41201455313083407,13,5,5,0.6887676849863216,42,True
task07-scratch-screen-20260913,pidnet-seed0,pidnet,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.03238723383756124,0.0,0.15114042457528576,33,20,0,0.5756529014042052,42,True
task07-scratch-screen-20260913,segformer_b0-seed0,segformer_b0,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.11557235818521987,0.03411699750060125,0.1866938093761244,16,2,1,0.4407834500476614,42,True
task07-scratch-screen-20260913,segformer_b2-seed0,segformer_b2,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.12183675956767455,0.03394110437435517,0.18952384821638263,15,2,0,0.3312737563793818,42,True
task07-scratch-screen-20260913,segmamba-seed0,segmamba,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.3211751307876949,0.27467006565931407,0.4496451831027727,12,5,8,0.7355399554855259,42,True
task07-scratch-screen-20260913,segresnet-seed0,segresnet,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.3090477998115565,0.2963061594184426,0.41870992232533455,11,3,4,0.6609773205956568,42,True
task07-scratch-screen-20260913,swin_unetr-seed0,swin_unetr,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.24460102081614007,0.10589485298086836,0.3669015312242102,14,3,2,0.7045156493099085,42,True
task07-scratch-screen-20260913,swin_upernet-seed0,swin_upernet,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.13907237390624888,0.05287408349431833,0.21633480385416493,15,2,0,0.5347550091285259,42,True
task07-scratch-screen-20260913,transunet_3d-seed0,transunet_3d,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.3101209887526347,0.23393061519340927,0.4651814831289521,14,6,6,0.7353525692697499,42,True
task07-scratch-screen-20260913,umamba_bot-seed0,umamba_bot,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.3215839421221648,0.1030689202042569,0.46574226100451466,13,6,11,0.7276320733902167,42,True
task07-scratch-screen-20260913,umamba_enc-seed0,umamba_enc,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.35714151938129507,0.40252207983839455,0.5172394418625653,13,6,6,0.7541131388973321,42,True
task07-scratch-screen-20260913,unet_2d-seed0,unet_2d,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.25549897381910436,0.16631787510667043,0.3700329965655994,13,1,1,0.6630519666958486,42,True
task07-scratch-screen-20260913,unet_3d-seed0,unet_3d,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.18327317209336416,0.029483451020736063,0.3346727490400563,19,9,1,0.6083926378431697,42,True
task07-scratch-screen-20260913,unet_plus_plus-seed0,unet_plus_plus,2.5d,0,scratch,torch_common_scratch_seed0_10000_steps,0.26010437825574867,0.2558327768258047,0.3413869964606701,10,0,3,0.6722318010304666,42,True
task07-scratch-screen-20260913,unetr-seed0,unetr,3d,0,scratch,torch_common_scratch_seed0_10000_steps,0.11157701145275563,0.004161970704039255,0.20374932526155376,19,2,0,0.48100457837806165,42,True
task07-followup-20260914,dynunet-control10k-seed0,dynunet,3d,0,scratch,dynunet_followup_seed0_control_10000_steps_coarse,0.3298359547409563,0.2765951628810103,0.4617703366373387,12,3,7,0.7558945692980761,42,True
task07-followup-20260914,dynunet-fine10k-seed0,dynunet,3d,0,scratch,dynunet_followup_seed0_resolution_10000_steps_fine,0.28197726451484256,0.1653292954044519,0.455501734985515,16,5,8,0.7279897982690801,42,True
task07-followup-20260914,dynunet-long30k-seed0,dynunet,3d,0,scratch,dynunet_followup_seed0_budget_30000_steps_coarse,0.33801371584714135,0.33189174940829025,0.5070205737707122,14,5,8,0.726216519037536,42,True
task07-recipe-ablation-20260914,dynunet-class111-seed0,dynunet,3d,0,scratch,dynunet_recipe_ablation_seed0_10000_steps,0.30231336389065866,0.10868080794731161,0.5078864513363065,17,8,9,0.7572977297337202,42,True
task07-recipe-ablation-20260914,dynunet-class115-seed0,dynunet,3d,0,scratch,dynunet_recipe_ablation_seed0_10000_steps,0.3071044233524737,0.2912649655132008,0.4606566350287107,14,3,8,0.7124211376141291,42,True
task07-recipe-ablation-20260914,dynunet-control-seed0,dynunet,3d,0,scratch,dynunet_recipe_ablation_seed0_10000_steps,0.3298359547409563,0.2765951628810103,0.4617703366373387,12,3,7,0.7558945692980761,42,True
task07-recipe-ablation-20260914,dynunet-intensity-seed0,dynunet,3d,0,scratch,dynunet_recipe_ablation_seed0_10000_steps,0.2972633120005643,0.1516598127013176,0.44589496800084644,14,4,4,0.7130465579689361,42,True
task07-recipe-ablation-20260914,dynunet-mass50-seed0,dynunet,3d,0,scratch,dynunet_recipe_ablation_seed0_10000_steps,0.3029694013902177,0.1489684356483599,0.48941210993804407,16,6,11,0.7353542559310684,42,True
task07-recipe-ablation-20260914,dynunet-rotation-seed0,dynunet,3d,0,scratch,dynunet_recipe_ablation_seed0_10000_steps,0.3083960847722729,0.1618450058407816,0.43175451868118203,12,3,6,0.7597601612644931,42,True
task07-recipe-explorations-20260914,dynunet-control10k-seed0,dynunet,3d,0,scratch,dynunet_deep_supervision_seed0_control_10000_steps,0.3298359547409563,0.2765951628810103,0.4617703366373387,12,3,7,0.7558945692980761,42,True
task07-recipe-explorations-20260914,dynunet-deep10k-seed0,dynunet,3d,0,scratch,dynunet_deep_supervision_seed0_auxiliary_10000_steps,0.3068775868585889,0.141766908753829,0.5370357770025306,18,9,8,0.7407264999464717,42,True
task07-recipe-explorations-20260914,dynunet-focal05-seed0,dynunet,3d,0,scratch,recipe_focal05,0.31713298439711396,0.18951075358601027,0.459296046368234,13,0,8,0.7227777122715583,42,True
task07-recipe-explorations-20260914,dynunet-focal10-seed0,dynunet,3d,0,scratch,recipe_focal10,0.3238386434772669,0.32355116863254363,0.438749129872426,11,1,7,0.7184810275073324,42,True
